Country;Total;calculated;Homicides;Homicides year;Suicides;Sucides Year;Unintentional;Unintentional year;Undetermined;Undetermined Year;Sources and notes
Argentina;10.05;mixed years;3.0;2008;2.79;2001;0.64;2001;3.62;2001;Guns in Argentina[1]
Australia;0.86;2011;0.11;2011;0.62;2011;0.05;2011;0.08;2011;Guns in Australia[2]
Austria;2.95;mixed years;0.18;2010;2.68;2010;0.01;2009;0.08;2010;Guns in Austria[3]
Azerbaijan;0.04;incomplete;0.01;2008;0.01;2007;0.02;2007;unavailable;;Guns in Azerbaijan[4]
Barbados;3.0;incomplete;3.0;2000;unavailable;;unavailable;;unavailable;;Guns in Barbados[5]
Belarus;0.1;incomplete;0.1;2009;unavailable;;unavailable;;unavailable;;Guns in Belarus[6]
Belgium;2.42;2006;0.29;2006;1.96;2006;0.01;2006;0.16;2006;Guns in Belgium[7]
Brazil;19.03;mixed years;18.1;2008;0.74;2000;0.18;2000;0.01;2000;Guns in Brazil[8]
Bulgaria;2.35;2011;0.23;2011;0.87;2011;1.14;2011;0.11;2011;Guns in Bulgaria[9]
Canada;2.22;2007-2011;0.51;2007-2011;1.60;2007-2011 avg;0.04;2007-2011;0.02;2007-2011;Statistics Canada[10]
Chile;3.73;mixed years;2.2;2005;1.09;2002;0.4;2002;0.04;2001;Guns in Chile[11]
Colombia;28.14;mixed years;27.1;2010;0.87;2009;0.14;1999;0.03;1999;Guns in Colombia[12]
Costa Rica;6.28;mixed years;4.6;2006;1.27;2002;0.07;2002;0.24;2000;Guns in Costa Rica[13]
Croatia;3.54;mixed years;1.1;2009;2.35;2010;0.07;2010;0.02;2010;Guns in Croatia[14]
Cyprus;0.96;mixed years;0.24;2010;0.48;2010;0.12;2009;0.12;2010;Guns in Cyprus[15]
Czech Republic;1.76;2010;0.12;2010;1.39;2010;0.10;2010;0.15;2010;Guns in Czech Republic[16]
Denmark;1.28;2011;0.22;2011;1.09;2011;0.04;2008;0.04;2004;Guns in Denmark[17]
El Salvador;46.85;incomplete;39.90;2008;6.80;2006;0.15;1999;unavailable;;Guns in El Salvador[18]
Estonia;2.54;2010;0.30;2010;1.57;2010;0.07;2010;0.60;2010;Guns in Estonia[19]
Finland;3.64;2010;0.26;2010;3.34;2010;0.02;2010;0.02;2010;Guns in Finland[20]
France;3.01;2009;0.22;2009;2.33;2009;0.05;2009;0.41;2009;Guns in France[21]
Georgia;1.92;mixed years;0.60;2010;0.09;2009;1.00;2009;0.23;2009;Guns in Georgia[22]
Germany;1.24;2010;0.20;2010;0.94;2010;0.02;2010;0.08;2010;Guns in Germany[23]
Greece;1.64;mixed years;0.59;2009;0.97;2009;0.08;2009;0.00;1998;Guns in Greece[24]
Guatemala;36.38;incomplete;34.8;2010;2.30;2006;unavailable;;unavailable;;Guns in Guatemala[25]
Honduras;64.8;incomplete;64.8;2010;unavailable;;unavailable;;unavailable;;Guns in Honduras[26]
Hong Kong;0.03;mixed years;0.00;2004;0.03;1999;0.00;1996;0.00;1996;Guns in Hong Kong[27]
Hungary;0.87;mixed years;0.13;2009;0.72;2009;0.01;2008;0.01;2002;Guns in Hungary[28]
Iceland;1.57;mixed years, incomplete;0.32;2007;1.25;2009;unavailable;;unavailable;;Guns in Iceland[29]
India;0.48;incomplete;0.30;2009;0.14;2008;0.04;2008;unavailable;;Guns in India[30]
Israel;1.87;2009;0.94;2009;0.71;2009;0.03;2009;0.19;2009;Guns in Israel[31]
Italy;1.28;2009;0.36;2009;0.81;2009;0.08;2009;0.03;2009;Guns in Italy[32]
Jamaica;39.74;mixed years,incomplete;39.40;2009;0.34;1995;unavailable;;unavailable;;Guns in Jamaica[33]
Japan;0.06;mixed years;0.00;2008;0.04;1999;0.01;1999;0.01;1999;Guns in Japan[34]
Kuwait;0.36;mixed years;0.36;1995;0.00;1999;0.00;2000;0.00;2000;Guns in Kuwait[35]
Kyrgyzstan;1.01;2010;0.53;2010;0.07;2010;0.28;2010;0.13;2010;Guns in Kyrgyzstan[36]
Latvia;1.43;2010;0.18;2010;0.94;2010;0.04;2010;0.27;2010;Guns in Latvia[37]
Luxembourg;2.02;mixed years;0.60;2009;1.00;2009;0.22;2004;0.20;2009;Guns in Luxembourg[38]
Macedonia;1.85;mixed years;1.07;2010;0.63;2010;0.15;2010;0.00;1997;Guns in Macedonia[39]
Mexico;11.17;mixed years;10.00;2010;0.69;2001;0.47;2001;0.01;2001;Guns in Mexico[40]
Moldova;1.03;2011;0.45;2011;0.42;2011;0.08;2011;0.08;2011;Guns in Moldova[41]
Montenegro;8.55;2009, incomplete;2.06;2009;6.49;2009;unavailable;;unavailable;;Guns in Montenegro[42]
Netherlands;0.46;2010;0.20;2010;0.24;2010;0.01;2010;0.01;2010;Guns in Netherlands[43]
New Zealand;1.45;mixed years;0.26;2009;1.14;2007;0.05;2006;0.00;2006;Guns in New Zealand[44]
Nicaragua;7.29;mixed years;5.90;2008;0.46;2002;0.91;2002;0.02;2001;Guns in Nicaragua[45]
Norway;1.78;mixed years;0.04;2010;1.72;2010;0.02;2010;0.00;2008;Guns in Norway[46]
Panama;17.60;mixed years;16.10;2010;0.99;2002;0.06;2002;0.45;2002;Guns in Panama[47]
Paraguay;8.16;mixed years;7.30;2009;0.58;2000;0.26;2000;0.02;2000;Guns in Paraguay[48]
Peru;3.73;mixed years;2.60;2009;0.11;2000;0.90;2000;0.12;2000;Guns in Peru[49]
Philippines;3.24;incomplete;3.24;2002;unavailable;;unavailable;;unavailable;;Guns in Philippines[50]
Poland;0.25;2010;0.02;2010;0.12;2010;0.02;2010;0.09;2010;Guns in Poland[51]
Portugal;1.77;2010;0.48;2010;1.09;2010;0.02;2010;0.18;2010;Guns in Portugal[52]
Qatar;0.15;incomplete;0.15;2004;unavailable;;unavailable;;unavailable;;Guns in Qatar[53]
Romania;0.19;2010;0.04;2010;0.06;2010;0.09;2010;0.00;2010;Guns in Romania[54]
Serbia;3.90;2010;0.62;2010;2.81;2010;0.18;2010;0.29;2010;Guns in Serbia[55]
Singapore;0.16;mixed years;0.02;2006;0.12;1998;0.02;1998;0.00;1998;Guns in Singapore[56]
Slovakia;1.75;2010;0.18;2010;0.94;2010;0.39;2010;0.24;2010;Guns in Slovakia[57]
Slovenia;2.49;mixed years;0.05;2010;2.34;2010;0.05;2009;0.05;2010;Guns in Slovenia[58]
South Africa;21.51;mixed years;17.00;2007;3.81;1999;0.35;1999;0.35;1999;Guns in South Africa[59]
South Korea;0.06;mixed years;0.00;2006;0.04;2002;0.01;2002;0.01;2002;Guns in South Korea[60]
Spain;0.62;mixed years;0.15;2010;0.42;2010;0.05;2010;0.00;2007;Guns in Spain[61]
Swaziland;37.16;incomplete;37.16;2004;unavailable;;unavailable;;unavailable;;Guns in Swaziland[62]
Sweden;1.47;2010;0.19;2010;1.20;2010;0.06;2010;0.01;2010;Guns in Sweden[63]
Switzerland;2.91;mixed years;0.23;2013;2.68;2011;0.10;1998;0.07;1994;Guns in Switzerland[64]
Taiwan;0.87;mixed years;0.60;2008;0.12;1994;0.11;1994;0.04;1994;Guns in Taiwan[65]
Ukraine;0.20;incomplete;0.20;2009;unavailable;;unavailable;;unavailable;;Guns in Ukraine[66]
United Kingdom;0.26;2010;0.05;2010;0.17;2010;0.01;2010;0.02;2010;Guns in the United Kingdom[67]
United States;10.64;2013;3.55;2013;6.70;2013;0.16;2013;0.09;2013;Guns in United States[68]
Uruguay;14.01;mixed years;3.43;2009;7.03;2000;3.46;2000;0.09;2000;Guns in Uruguay[69]
Venezuela;50.90;mixed years;39.00;2000;1.10;2000;0.40;2000;10.40;2000;Guns in Venezuela[70]
Zimbabwe;0.12;mixed years;0.03;2007;0.09;1995;unavailable;;unavailable;;Guns in Zimbabwe[71]
